dataset,method,variant,rep,seed,n_r,n_s,t,ok,wall_ms,count_value,count_exact,count_stderr,count_ci_low,count_ci_high,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
,ours,enum_sampling,0,1,200000,200000,100000,1,2303.88,8.00296e+07,1,nan,nan,nan,1,0,0,,0,"{""build_active_indices_ms"":43.021998,""build_events_ms"":77.099002,""build_ranks_ms"":102.143187,""build_y_domain_ms"":30.144128,""phase1_enumerate_materialize_ms"":2045.133204,""phase2_resample_ms"":1.881642,""run_build_ms"":256.857445,""run_count_ms"":2045.139513,""run_sample_ms"":1.882601}",,"{""dataset"":{""source"":""synthetic"",""name"":""d2_alacarte_rectgen_n200000_a200_gs1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":200000,""n_s"":200000,""alpha"":200,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_synth_d2/out/B_N/B_N__n200000__a200__t100000__ours__enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_alacarte_rectgen_n200000_a200_gs1"",""n_r"":200000,""n_s"":200000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":203.65,""notes"":""alacarte-rectgen alpha_expected_est=200.197 coverage=92.6396 pair_p_est=0.00200197 alpha_hat_est=203.65 epsilon_alpha=0.01825 audit_pairs=2000000""}"
,ours,enum_sampling,1,2,200000,200000,100000,1,2067.56,8.00296e+07,1,nan,nan,nan,1,0,0,,0,"{""build_active_indices_ms"":10.455954,""build_events_ms"":104.494896,""build_ranks_ms"":101.573817,""build_y_domain_ms"":29.530085,""phase1_enumerate_materialize_ms"":1647.681530,""phase2_resample_ms"":2.145073,""run_build_ms"":249.312722,""run_count_ms"":1647.686780,""run_sample_ms"":2.146024}",,"{""dataset"":{""source"":""synthetic"",""name"":""d2_alacarte_rectgen_n200000_a200_gs1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":200000,""n_s"":200000,""alpha"":200,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_synth_d2/out/B_N/B_N__n200000__a200__t100000__ours__enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_alacarte_rectgen_n200000_a200_gs1"",""n_r"":200000,""n_s"":200000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":203.65,""notes"":""alacarte-rectgen alpha_expected_est=200.197 coverage=92.6396 pair_p_est=0.00200197 alpha_hat_est=203.65 epsilon_alpha=0.01825 audit_pairs=2000000""}"
,ours,enum_sampling,2,3,200000,200000,100000,1,2065.28,8.00296e+07,1,nan,nan,nan,1,0,0,,0,"{""build_active_indices_ms"":10.446190,""build_events_ms"":97.755078,""build_ranks_ms"":101.724311,""build_y_domain_ms"":29.562641,""phase1_enumerate_materialize_ms"":1647.989280,""phase2_resample_ms"":1.905090,""run_build_ms"":242.798982,""run_count_ms"":1647.993999,""run_sample_ms"":1.905900}",,"{""dataset"":{""source"":""synthetic"",""name"":""d2_alacarte_rectgen_n200000_a200_gs1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":200000,""n_s"":200000,""alpha"":200,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_synth_d2/out/B_N/B_N__n200000__a200__t100000__ours__enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_alacarte_rectgen_n200000_a200_gs1"",""n_r"":200000,""n_s"":200000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":203.65,""notes"":""alacarte-rectgen alpha_expected_est=200.197 coverage=92.6396 pair_p_est=0.00200197 alpha_hat_est=203.65 epsilon_alpha=0.01825 audit_pairs=2000000""}"
