dataset,method,variant,rep,seed,n_r,n_s,t,ok,wall_ms,count_value,count_exact,count_stderr,count_ci_low,count_ci_high,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
,ours,sampling,0,1,100000,100000,100000,1,666.949,4.04015e+07,1,nan,nan,nan,0,0,0,,0,"{""build_active_indices_ms"":23.172218,""build_events_ms"":38.106039,""build_ranks_ms"":44.275711,""build_y_domain_ms"":14.343299,""phase1_count_ms"":308.039063,""phase2_plan_ms"":11.532796,""phase3_sample_ms"":224.066006,""run_build_ms"":123.272725,""run_count_ms"":308.041233,""run_sample_ms"":235.631617}",,"{""dataset"":{""source"":""synthetic"",""name"":""d2_alacarte_rectgen_n100000_a200_gs1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":200,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_synth_d2/out/B_N/B_N__n100000__a200__t100000__ours__sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_alacarte_rectgen_n100000_a200_gs1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":200.625,""notes"":""alacarte-rectgen alpha_expected_est=201.959 coverage=92.6396 pair_p_est=0.00403917 alpha_hat_est=200.625 epsilon_alpha=0.003125 audit_pairs=2000000""}"
,ours,sampling,1,2,100000,100000,100000,1,707.491,4.04015e+07,1,nan,nan,nan,0,0,0,,0,"{""build_active_indices_ms"":5.096566,""build_events_ms"":66.892887,""build_ranks_ms"":43.755189,""build_y_domain_ms"":13.965660,""phase1_count_ms"":303.286155,""phase2_plan_ms"":10.894766,""phase3_sample_ms"":222.959168,""run_build_ms"":131.465965,""run_count_ms"":303.289175,""run_sample_ms"":233.885509}",,"{""dataset"":{""source"":""synthetic"",""name"":""d2_alacarte_rectgen_n100000_a200_gs1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":200,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_synth_d2/out/B_N/B_N__n100000__a200__t100000__ours__sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_alacarte_rectgen_n100000_a200_gs1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":200.625,""notes"":""alacarte-rectgen alpha_expected_est=201.959 coverage=92.6396 pair_p_est=0.00403917 alpha_hat_est=200.625 epsilon_alpha=0.003125 audit_pairs=2000000""}"
,ours,sampling,2,3,100000,100000,100000,1,708.639,4.04015e+07,1,nan,nan,nan,0,0,0,,0,"{""build_active_indices_ms"":5.096267,""build_events_ms"":67.257282,""build_ranks_ms"":43.737431,""build_y_domain_ms"":13.949732,""phase1_count_ms"":304.210041,""phase2_plan_ms"":9.592276,""phase3_sample_ms"":224.176367,""run_build_ms"":131.779638,""run_count_ms"":304.213281,""run_sample_ms"":233.801139}",,"{""dataset"":{""source"":""synthetic"",""name"":""d2_alacarte_rectgen_n100000_a200_gs1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":200,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_synth_d2/out/B_N/B_N__n100000__a200__t100000__ours__sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_alacarte_rectgen_n100000_a200_gs1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":200.625,""notes"":""alacarte-rectgen alpha_expected_est=201.959 coverage=92.6396 pair_p_est=0.00403917 alpha_hat_est=200.625 epsilon_alpha=0.003125 audit_pairs=2000000""}"
