# task_id\tsweep\tN\talpha\tt\tmethod\tvariant
A_alpha__n1000000__a0p1__t100000__ours__enum_sampling	A_alpha	1000000	0.1	100000	ours	enum_sampling
A_alpha__n1000000__a0p1__t100000__ours__sampling	A_alpha	1000000	0.1	100000	ours	sampling
A_alpha__n1000000__a0p1__t100000__ours__adaptive	A_alpha	1000000	0.1	100000	ours	adaptive
A_alpha__n1000000__a0p1__t100000__range_tree__enum_sampling	A_alpha	1000000	0.1	100000	range_tree	enum_sampling
A_alpha__n1000000__a0p1__t100000__range_tree__sampling	A_alpha	1000000	0.1	100000	range_tree	sampling
A_alpha__n1000000__a0p1__t100000__range_tree__adaptive	A_alpha	1000000	0.1	100000	range_tree	adaptive
A_alpha__n1000000__a0p1__t100000__kd_tree__sampling	A_alpha	1000000	0.1	100000	kd_tree	sampling
A_alpha__n1000000__a0p3__t100000__ours__enum_sampling	A_alpha	1000000	0.3	100000	ours	enum_sampling
A_alpha__n1000000__a0p3__t100000__ours__sampling	A_alpha	1000000	0.3	100000	ours	sampling
A_alpha__n1000000__a0p3__t100000__ours__adaptive	A_alpha	1000000	0.3	100000	ours	adaptive
A_alpha__n1000000__a0p3__t100000__range_tree__enum_sampling	A_alpha	1000000	0.3	100000	range_tree	enum_sampling
A_alpha__n1000000__a0p3__t100000__range_tree__sampling	A_alpha	1000000	0.3	100000	range_tree	sampling
A_alpha__n1000000__a0p3__t100000__range_tree__adaptive	A_alpha	1000000	0.3	100000	range_tree	adaptive
A_alpha__n1000000__a0p3__t100000__kd_tree__sampling	A_alpha	1000000	0.3	100000	kd_tree	sampling
A_alpha__n1000000__a1__t100000__ours__enum_sampling	A_alpha	1000000	1	100000	ours	enum_sampling
A_alpha__n1000000__a1__t100000__ours__sampling	A_alpha	1000000	1	100000	ours	sampling
A_alpha__n1000000__a1__t100000__ours__adaptive	A_alpha	1000000	1	100000	ours	adaptive
A_alpha__n1000000__a1__t100000__range_tree__enum_sampling	A_alpha	1000000	1	100000	range_tree	enum_sampling
A_alpha__n1000000__a1__t100000__range_tree__sampling	A_alpha	1000000	1	100000	range_tree	sampling
A_alpha__n1000000__a1__t100000__range_tree__adaptive	A_alpha	1000000	1	100000	range_tree	adaptive
A_alpha__n1000000__a1__t100000__kd_tree__sampling	A_alpha	1000000	1	100000	kd_tree	sampling
A_alpha__n1000000__a3__t100000__ours__enum_sampling	A_alpha	1000000	3	100000	ours	enum_sampling
A_alpha__n1000000__a3__t100000__ours__sampling	A_alpha	1000000	3	100000	ours	sampling
A_alpha__n1000000__a3__t100000__ours__adaptive	A_alpha	1000000	3	100000	ours	adaptive
A_alpha__n1000000__a3__t100000__range_tree__enum_sampling	A_alpha	1000000	3	100000	range_tree	enum_sampling
A_alpha__n1000000__a3__t100000__range_tree__sampling	A_alpha	1000000	3	100000	range_tree	sampling
A_alpha__n1000000__a3__t100000__range_tree__adaptive	A_alpha	1000000	3	100000	range_tree	adaptive
A_alpha__n1000000__a3__t100000__kd_tree__sampling	A_alpha	1000000	3	100000	kd_tree	sampling
A_alpha__n1000000__a10__t100000__ours__enum_sampling	A_alpha	1000000	10	100000	ours	enum_sampling
A_alpha__n1000000__a10__t100000__ours__sampling	A_alpha	1000000	10	100000	ours	sampling
A_alpha__n1000000__a10__t100000__ours__adaptive	A_alpha	1000000	10	100000	ours	adaptive
A_alpha__n1000000__a10__t100000__range_tree__enum_sampling	A_alpha	1000000	10	100000	range_tree	enum_sampling
A_alpha__n1000000__a10__t100000__range_tree__sampling	A_alpha	1000000	10	100000	range_tree	sampling
