# task_id	sweep	family	N	alpha	t	method	variant	j_star	w_small
F_high_alpha_F0__F0__n1000000__a1000__t1000000__ours__sampling__B50000000__w512	F_high_alpha_F0	F0	1000000	1000	1000000	ours	sampling	50000000	512
F_high_alpha_F0__F0__n1000000__a1000__t1000000__ours__adaptive__B50000000__w512	F_high_alpha_F0	F0	1000000	1000	1000000	ours	adaptive	50000000	512
F_high_alpha_F0__F0__n1000000__a1000__t1000000__range_tree__sampling__B50000000__w512	F_high_alpha_F0	F0	1000000	1000	1000000	range_tree	sampling	50000000	512
F_high_alpha_F0__F0__n1000000__a1000__t1000000__range_tree__adaptive__B50000000__w512	F_high_alpha_F0	F0	1000000	1000	1000000	range_tree	adaptive	50000000	512
F_high_alpha_F0__F0__n1000000__a1000__t1000000__kd_tree__sampling__B50000000__w512	F_high_alpha_F0	F0	1000000	1000	1000000	kd_tree	sampling	50000000	512
F_high_alpha_F0__F0__n1000000__a3000__t1000000__ours__sampling__B50000000__w512	F_high_alpha_F0	F0	1000000	3000	1000000	ours	sampling	50000000	512
F_high_alpha_F0__F0__n1000000__a3000__t1000000__ours__adaptive__B50000000__w512	F_high_alpha_F0	F0	1000000	3000	1000000	ours	adaptive	50000000	512
F_high_alpha_F0__F0__n1000000__a3000__t1000000__range_tree__sampling__B50000000__w512	F_high_alpha_F0	F0	1000000	3000	1000000	range_tree	sampling	50000000	512
F_high_alpha_F0__F0__n1000000__a3000__t1000000__range_tree__adaptive__B50000000__w512	F_high_alpha_F0	F0	1000000	3000	1000000	range_tree	adaptive	50000000	512
F_high_alpha_F0__F0__n1000000__a3000__t1000000__kd_tree__sampling__B50000000__w512	F_high_alpha_F0	F0	1000000	3000	1000000	kd_tree	sampling	50000000	512
F_high_alpha_F0__F0__n1000000__a10000__t1000000__ours__sampling__B50000000__w512	F_high_alpha_F0	F0	1000000	10000	1000000	ours	sampling	50000000	512
F_high_alpha_F0__F0__n1000000__a10000__t1000000__ours__adaptive__B50000000__w512	F_high_alpha_F0	F0	1000000	10000	1000000	ours	adaptive	50000000	512
F_high_alpha_F0__F0__n1000000__a10000__t1000000__range_tree__sampling__B50000000__w512	F_high_alpha_F0	F0	1000000	10000	1000000	range_tree	sampling	50000000	512
F_high_alpha_F0__F0__n1000000__a10000__t1000000__range_tree__adaptive__B50000000__w512	F_high_alpha_F0	F0	1000000	10000	1000000	range_tree	adaptive	50000000	512
F_high_alpha_F0__F0__n1000000__a10000__t1000000__kd_tree__sampling__B50000000__w512	F_high_alpha_F0	F0	1000000	10000	1000000	kd_tree	sampling	50000000	512
